NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,ADDITIONAL_FUNCTIONALITY,METHOD: com.blankj.utilcode.util.ClipboardUtils.getLabel(),CLASS: com.blankj.subutil.util.ClipboardUtils,com.blankj.subutil.util.ClipboardUtils,LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,REMOVED_FUNCTIONALITY,METHOD: com.blankj.subutil.util.ClipboardUtils.copyUri(Uri),CLASS: com.blankj.subutil.util.ClipboardUtils,com.blankj.subutil.util.ClipboardUtils,CRUCIAL
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,REMOVED_FUNCTIONALITY,METHOD: com.blankj.subutil.util.ClipboardUtils.getUri(),CLASS: com.blankj.subutil.util.ClipboardUtils,com.blankj.subutil.util.ClipboardUtils,CRUCIAL
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,REMOVED_FUNCTIONALITY,METHOD: com.blankj.subutil.util.ClipboardUtils.getIntent(),CLASS: com.blankj.subutil.util.ClipboardUtils,com.blankj.subutil.util.ClipboardUtils,CRUCIAL
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,REMOVED_FUNCTIONALITY,METHOD: com.blankj.subutil.util.ClipboardUtils.copyIntent(Intent),CLASS: com.blankj.subutil.util.ClipboardUtils,com.blankj.subutil.util.ClipboardUtils,CRUCIAL
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,CATCH_CLAUSE: Exception,CATCH_CLAUSES: ,com.blankj.subutil.util.DangerousUtils.setMobileDataEnabled(boolean),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,METHOD_INVOCATION: e.printStackTrace();,CATCH_CLAUSE: Exception,com.blankj.subutil.util.DangerousUtils.setMobileDataEnabled(boolean),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,CATCH_CLAUSE: Exception,CATCH_CLAUSES: ,com.blankj.subutil.util.DangerousUtils.setMobileDataEnabled(boolean),MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,CONDITION_EXPRESSION_CHANGE,IF_STATEMENT: isAppSystem(pkgName),THEN_STATEMENT: (! GOOGLE_PLAY_APP_STORE_PACKAGE_NAME.equals(pkgName)),"com.blankj.subutil.util.AppStoreUtils.getAppStoreIntent(String,boolean)",MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,REMOVED_FUNCTIONALITY,METHOD: com.blankj.subutil.util.AppStoreUtils.getNormalAppStoreIntent(),CLASS: com.blankj.subutil.util.AppStoreUtils,com.blankj.subutil.util.AppStoreUtils,HIGH
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,REMOVED_FUNCTIONALITY,METHOD: com.blankj.subutil.util.AppStoreUtils.go2NormalAppStore(String),CLASS: com.blankj.subutil.util.AppStoreUtils,com.blankj.subutil.util.AppStoreUtils,HIGH
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,REMOVED_FUNCTIONALITY,METHOD: com.blankj.subutil.util.AppStoreUtils.isAppSystem(String),CLASS: com.blankj.subutil.util.AppStoreUtils,com.blankj.subutil.util.AppStoreUtils,HIGH
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_UPDATE,"METHOD_INVOCATION: seekBar.setOnSeekBarChangeListener(new SeekBar.OnSeekBarChangeListener() {
  public @Override void onProgressChanged(SeekBar seekBar, int progress, boolean fromUser) {
    mOnSeekBarChangeListener.onProgressChanged(seekBar, progress, fromUser);
    mCurProgress = progress;
    contentTv.setText(String.valueOf(progress));
  }
  public @Override void onStartTrackingTouch(SeekBar seekBar) {
    mOnSeekBarChangeListener.onStartTrackingTouch(seekBar);
  }
  public @Override void onStopTrackingTouch(SeekBar seekBar) {
    mOnSeekBarChangeListener.onStartTrackingTouch(seekBar);
  }
});","METHOD: com.blankj.common.item.CommonItemSeekBar.bind(ItemViewHolder,int)","com.blankj.common.item.CommonItemSeekBar.bind(ItemViewHolder,int)",LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,PARAMETER_INSERT,PARAMETER: listener,PARAMETERS: ,"com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(CharSequence,int,ProgressListener)",CRUCIAL
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,PARAMETER_DELETE,PARAMETER: curProgress,PARAMETERS: ,"com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(CharSequence,int,ProgressListener)",CRUCIAL
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,PARAMETER_DELETE,PARAMETER: itemClickListener,PARAMETERS: ,"com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(CharSequence,int,ProgressListener)",CRUCIAL
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,ASSIGNMENT: mCurProgress = listener.getCurValue();,"METHOD: com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(CharSequence,int,int,SeekBar.OnSeekBarChangeListener)","com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(CharSequence,int,ProgressListener)",LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,ASSIGNMENT: mProgressListener = listener;,"METHOD: com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(CharSequence,int,int,SeekBar.OnSeekBarChangeListener)","com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(CharSequence,int,ProgressListener)",LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,ASSIGNMENT: mCurProgress = curProgress;,"METHOD: com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(CharSequence,int,int,SeekBar.OnSeekBarChangeListener)","com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(CharSequence,int,ProgressListener)",MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,ASSIGNMENT: mOnSeekBarChangeListener = itemClickListener;,"METHOD: com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(CharSequence,int,int,SeekBar.OnSeekBarChangeListener)","com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(CharSequence,int,ProgressListener)",MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,PARAMETER_INSERT,PARAMETER: listener,PARAMETERS: ,"com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(int,int,ProgressListener)",CRUCIAL
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,PARAMETER_DELETE,PARAMETER: curProgress,PARAMETERS: ,"com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(int,int,ProgressListener)",CRUCIAL
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,PARAMETER_DELETE,PARAMETER: itemClickListener,PARAMETERS: ,"com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(int,int,ProgressListener)",CRUCIAL
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_UPDATE,"CONSTRUCTOR_INVOCATION: this(StringUtils.getString(title), maxProgress, curProgress, itemClickListener);","METHOD: com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(int,int,int,SeekBar.OnSeekBarChangeListener)","com.blankj.common.item.CommonItemSeekBar.CommonItemSeekBar(int,int,ProgressListener)",LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,ADDITIONAL_OBJECT_STATE,FIELD: com.blankj.common.item.CommonItemSeekBar.mProgressListener : ProgressListener,CLASS: com.blankj.common.item.CommonItemSeekBar,com.blankj.common.item.CommonItemSeekBar,LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,REMOVED_OBJECT_STATE,FIELD: com.blankj.common.item.CommonItemSeekBar.mOnSeekBarChangeListener : SeekBar.OnSeekBarChangeListener,CLASS: com.blankj.common.item.CommonItemSeekBar,com.blankj.common.item.CommonItemSeekBar,HIGH
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,ADDITIONAL_CLASS,CLASS: com.blankj.common.item.CommonItemSeekBar.ProgressListener,CLASS: com.blankj.common.item.CommonItemSeekBar,com.blankj.common.item.CommonItemSeekBar,LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_UPDATE,"METHOD_INVOCATION: CrashUtils.init(new CrashUtils.OnCrashListener() {
  public @Override void onCrash(String crashInfo, Throwable e) {
    LogUtils.e(crashInfo);
    AppUtils.relaunchApp();
  }
});",METHOD: com.blankj.base.BaseApplication.initCrash(),com.blankj.base.BaseApplication.initCrash(),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,TRY_STATEMENT: ,"METHOD: com.blankj.utilcode.util.StringUtils.getString(int,Object...)","com.blankj.utilcode.util.StringUtils.getString(int,Object...)",LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,CATCH_CLAUSE: Resources.NotFoundException,CATCH_CLAUSES: ,"com.blankj.utilcode.util.StringUtils.getString(int,Object...)",LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,METHOD_INVOCATION: e.printStackTrace();,CATCH_CLAUSE: Resources.NotFoundException,"com.blankj.utilcode.util.StringUtils.getString(int,Object...)",LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,RETURN_STATEMENT: String.valueOf(id);,CATCH_CLAUSE: Resources.NotFoundException,"com.blankj.utilcode.util.StringUtils.getString(int,Object...)",LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,"RETURN_STATEMENT: "";",CATCH_CLAUSE: Resources.NotFoundException,"com.blankj.utilcode.util.StringUtils.getString(int,Object...)",MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,CATCH_CLAUSE: Resources.NotFoundException,CATCH_CLAUSES: ,"com.blankj.utilcode.util.StringUtils.getString(int,Object...)",MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,TRY_STATEMENT: ,"METHOD: com.blankj.utilcode.util.StringUtils.getString(int,Object...)","com.blankj.utilcode.util.StringUtils.getString(int,Object...)",MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_UPDATE,"RETURN_STATEMENT: Utils.getApp().getString(id, formatArgs);",BODY: ,"com.blankj.utilcode.util.StringUtils.getString(int,Object...)",LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_UPDATE,RETURN_STATEMENT: (String.valueOf((char) (s.charAt(0) - 32)) + s.substring(1));,METHOD: com.blankj.utilcode.util.StringUtils.upperFirstLetter(String),com.blankj.utilcode.util.StringUtils.upperFirstLetter(String),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,TRY_STATEMENT: ,METHOD: com.blankj.utilcode.util.StringUtils.getStringArray(int),com.blankj.utilcode.util.StringUtils.getStringArray(int),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,CATCH_CLAUSE: Resources.NotFoundException,CATCH_CLAUSES: ,com.blankj.utilcode.util.StringUtils.getStringArray(int),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,METHOD_INVOCATION: e.printStackTrace();,CATCH_CLAUSE: Resources.NotFoundException,com.blankj.utilcode.util.StringUtils.getStringArray(int),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,RETURN_STATEMENT: new String[]{String.valueOf(id)};,CATCH_CLAUSE: Resources.NotFoundException,com.blankj.utilcode.util.StringUtils.getStringArray(int),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,RETURN_STATEMENT: new String[0];,CATCH_CLAUSE: Resources.NotFoundException,com.blankj.utilcode.util.StringUtils.getStringArray(int),MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,CATCH_CLAUSE: Resources.NotFoundException,CATCH_CLAUSES: ,com.blankj.utilcode.util.StringUtils.getStringArray(int),MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,TRY_STATEMENT: ,METHOD: com.blankj.utilcode.util.StringUtils.getStringArray(int),com.blankj.utilcode.util.StringUtils.getStringArray(int),MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,"RETURN_STATEMENT: getString(id, (Object[]) null);",METHOD: com.blankj.utilcode.util.StringUtils.getString(int),com.blankj.utilcode.util.StringUtils.getString(int),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,RETURN_STATEMENT: Utils.getApp().getResources().getString(id);,BODY: ,com.blankj.utilcode.util.StringUtils.getString(int),MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,"RETURN_STATEMENT: "";",CATCH_CLAUSE: Resources.NotFoundException,com.blankj.utilcode.util.StringUtils.getString(int),MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,CATCH_CLAUSE: Resources.NotFoundException,CATCH_CLAUSES: ,com.blankj.utilcode.util.StringUtils.getString(int),MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,TRY_STATEMENT: ,METHOD: com.blankj.utilcode.util.StringUtils.getString(int),com.blankj.utilcode.util.StringUtils.getString(int),MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,ADDITIONAL_FUNCTIONALITY,"METHOD: com.blankj.utilcode.util.StringUtils.format(String,Object...)",CLASS: com.blankj.utilcode.util.StringUtils,com.blankj.utilcode.util.StringUtils,LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,CATCH_CLAUSE: IOException,CATCH_CLAUSES: ,com.blankj.utilcode.util.FlashlightUtils.setFlashlightStatus(boolean),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,METHOD_INVOCATION: e.printStackTrace();,CATCH_CLAUSE: IOException,com.blankj.utilcode.util.FlashlightUtils.setFlashlightStatus(boolean),LOW
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_DELETE,CATCH_CLAUSE: IOException,CATCH_CLAUSES: ,com.blankj.utilcode.util.FlashlightUtils.setFlashlightStatus(boolean),MEDIUM
111,f06baa3eb53fc0d9703af754db55aeb12b8514a2,STATEMENT_INSERT,"METHOD_INVOCATION: show(text, Toast.LENGTH_SHORT, DEFAULT_TOAST_UTILS);",METHOD: com.blankj.utilcode.util.ToastUtils.showShort(CharSequence),com.blankj.utilcode.util.ToastUtils.showShort(CharSequence),LOW
