NO.,HEAD,CHANGE TYPE,CHANGED STATEMENT,PARENT ENTITY,ROOT ENTITY,SIGNIFICANCE LEVEL
3,32a422fdb6b877273513b70d5155e3283938f003,STATEMENT_DELETE,IF_STATEMENT: (fragment == null),"METHOD: com.google.zxing.integration.android.IntentIntegrator.startActivityForResult(Intent,int)","com.google.zxing.integration.android.IntentIntegrator.startActivityForResult(Intent,int)",MEDIUM
3,32a422fdb6b877273513b70d5155e3283938f003,STATEMENT_PARENT_CHANGE,"METHOD_INVOCATION: activity.startActivityForResult(intent, code);",THEN_STATEMENT: (fragment == null),"com.google.zxing.integration.android.IntentIntegrator.startActivityForResult(Intent,int)",MEDIUM
3,32a422fdb6b877273513b70d5155e3283938f003,STATEMENT_DELETE,METHOD_INVOCATION: fragment.startActivity(intent);,ELSE_STATEMENT: (fragment == null),"com.google.zxing.integration.android.IntentIntegrator.shareText(CharSequence,CharSequence)",MEDIUM
3,32a422fdb6b877273513b70d5155e3283938f003,ALTERNATIVE_PART_DELETE,ELSE_STATEMENT: (fragment == null),IF_STATEMENT: (fragment == null),"com.google.zxing.integration.android.IntentIntegrator.shareText(CharSequence,CharSequence)",MEDIUM
3,32a422fdb6b877273513b70d5155e3283938f003,STATEMENT_DELETE,IF_STATEMENT: (fragment == null),"METHOD: com.google.zxing.integration.android.IntentIntegrator.shareText(CharSequence,CharSequence)","com.google.zxing.integration.android.IntentIntegrator.shareText(CharSequence,CharSequence)",MEDIUM
3,32a422fdb6b877273513b70d5155e3283938f003,STATEMENT_PARENT_CHANGE,METHOD_INVOCATION: activity.startActivity(intent);,THEN_STATEMENT: (fragment == null),"com.google.zxing.integration.android.IntentIntegrator.shareText(CharSequence,CharSequence)",MEDIUM
3,32a422fdb6b877273513b70d5155e3283938f003,STATEMENT_INSERT,ASSIGNMENT: title = DEFAULT_TITLE;,METHOD: com.google.zxing.integration.android.IntentIntegrator.IntentIntegrator(Activity),com.google.zxing.integration.android.IntentIntegrator.IntentIntegrator(Activity),LOW
3,32a422fdb6b877273513b70d5155e3283938f003,STATEMENT_INSERT,ASSIGNMENT: message = DEFAULT_MESSAGE;,METHOD: com.google.zxing.integration.android.IntentIntegrator.IntentIntegrator(Activity),com.google.zxing.integration.android.IntentIntegrator.IntentIntegrator(Activity),LOW
3,32a422fdb6b877273513b70d5155e3283938f003,STATEMENT_INSERT,ASSIGNMENT: buttonYes = DEFAULT_YES;,METHOD: com.google.zxing.integration.android.IntentIntegrator.IntentIntegrator(Activity),com.google.zxing.integration.android.IntentIntegrator.IntentIntegrator(Activity),LOW
3,32a422fdb6b877273513b70d5155e3283938f003,STATEMENT_INSERT,ASSIGNMENT: buttonNo = DEFAULT_NO;,METHOD: com.google.zxing.integration.android.IntentIntegrator.IntentIntegrator(Activity),com.google.zxing.integration.android.IntentIntegrator.IntentIntegrator(Activity),LOW
