INSERTION,DELETION,SUM,SUBTRACT
3,2,5,1
1,1,2,0
2,2,4,0
1,1,2,0
152,105,257,47
111,5,116,106
39,9,48,30
1,1,2,0
1,1,2,0
1,3,4,-2
1,7,8,-6
17,8,25,9
18,18,36,0
0,6,6,-6
8,25,33,-17
1,5,6,-4
0,70,70,-70
36,54,90,-18
0,147,147,-147
0,34,34,-34
6,0,6,6
25,8,33,17
5,1,6,4
70,0,70,70
54,36,90,18
147,0,147,147
34,0,34,34
2,2,4,0
5,3,8,2
5,1,6,4
3,3,6,0
8,6,14,2
6,0,6,6
3,0,3,3
8,1,9,7
7,11,18,-4
5,0,5,5
10,4,14,6
17,0,17,17
6,2,8,4
12,6,18,6
7,0,7,7
117,0,117,117
12,6,18,6
7,0,7,7
116,0,116,116
2,2,4,0
2,2,4,0
23,31,54,-8
23,31,54,-8
4,4,8,0
1,1,2,0
4,4,8,0
2,2,4,0
2,2,4,0
55,85,140,-30
4,4,8,0
20,0,20,20
4,4,8,0
2,2,4,0
29,4,33,25
2,2,4,0
68,90,158,-22
1,1,2,0
66,24,90,42
1,1,2,0
3,1,4,2
65,0,65,65
1,1,2,0
19,0,19,19
13,3,16,10
1,1,2,0
1,1,2,0
1,0,1,1
1,0,1,1
1,0,1,1
0,110,110,-110
25,0,25,25
7,0,7,7
4,0,4,4
0,0,0,0
1,0,1,1
1,0,1,1
3,2,5,1
2,1,3,1
30,0,30,30
4,0,4,4
6,0,6,6
82,0,82,82
3,2,5,1
2,2,4,0
1,1,2,0
1,1,2,0
69,0,69,69
71,2,73,69
0,1,1,-1
1,1,2,0
2,11,13,-9
0,8,8,-8
0,3,3,-3
0,5,5,-5
0,8,8,-8
13,41,54,-28
0,7,7,-7
0,7,7,-7
9,9,18,0
50,0,50,50
76,0,76,76
9,9,18,0
49,0,49,49
94,0,94,94
1,1,2,0
2,10,12,-8
49,125,174,-76
5,0,5,5
45,1,46,44
10,2,12,8
3,0,3,3
8,1,9,7
19,13,32,6
4,4,8,0
2,2,4,0
1,0,1,1
35,11,46,24
19,6,25,13
17,3,20,14
91,41,132,50
0,9,9,-9
25,0,25,25
329,214,543,115
105,64,169,41
0,4,4,-4
1,73,74,-72
99,176,275,-77
1,55,56,-54
72,83,155,-11
4,4,8,0
1,1,2,0
16,0,16,16
3,3,6,0
2,1,3,1
3,1,4,2
4,3,7,1
18,18,36,0
9,16,25,-7
1,1,2,0
14,9,23,5
10,11,21,-1
77,63,140,14
1,1,2,0
42,2,44,40
4,1,5,3
6,0,6,6
11,1,12,10
7,0,7,7
13,2,15,11
61,3,64,58
66,0,66,66
49,0,49,49
30,2,32,28
36,0,36,36
30,0,30,30
3,3,6,0
3,3,6,0
1,1,2,0
2,2,4,0
1,1,2,0
2,2,4,0
2,2,4,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
3,3,6,0
1,1,2,0
1,1,2,0
18,19,37,-1
3,3,6,0
2,2,4,0
1,1,2,0
2,2,4,0
1,1,2,0
1,1,2,0
1,1,2,0
2,2,4,0
2,2,4,0
1,1,2,0
2,2,4,0
3,3,6,0
1,1,2,0
2,2,4,0
2,2,4,0
2,2,4,0
1,1,2,0
3,3,6,0
2,2,4,0
1,1,2,0
1,1,2,0
1,1,2,0
