INSERTION,DELETION,SUM,SUBTRACT
3,0,3,3
1,6,7,-5
21,0,21,21
2,2,4,0
0,6,6,-6
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
20,31,51,-11
2,3,5,-1
1,3,4,-2
2,3,5,-1
1,1,2,0
1,7,8,-6
0,60,60,-60
1,1,2,0
1,1,2,0
7,9,16,-2
5,1,6,4
46,28,74,18
2,8,10,-6
8,31,39,-23
9,4,13,5
33,0,33,33
5,2,7,3
1,1,2,0
2,4,6,-2
1,1,2,0
2,0,2,2
10,0,10,10
8,1,9,7
7,0,7,7
5,0,5,5
4,0,4,4
6,0,6,6
5,0,5,5
5,0,5,5
2,2,4,0
3,0,3,3
1,1,2,0
7,0,7,7
3,4,7,-1
22,7,29,15
0,17,17,-17
38,18,56,20
0,28,28,-28
0,31,31,-31
21,0,21,21
5,7,12,-2
80,137,217,-57
0,20,20,-20
10,0,10,10
0,6,6,-6
12,25,37,-13
0,4,4,-4
19,36,55,-17
18,16,34,2
3,3,6,0
1,1,2,0
21,18,39,3
5,5,10,0
9,9,18,0
16,12,28,4
8,8,16,0
18,4,22,14
12,3,15,9
1,6,7,-5
9,0,9,9
2,3,5,-1
0,16,16,-16
6,3,9,3
16,12,28,4
7,2,9,5
144,83,227,61
3,2,5,1
5,8,13,-3
6,9,15,-3
5,8,13,-3
5,8,13,-3
7,10,17,-3
5,8,13,-3
5,8,13,-3
1,1,2,0
1,1,2,0
4,4,8,0
4,4,8,0
4,4,8,0
4,4,8,0
4,4,8,0
4,4,8,0
4,4,8,0
3,3,6,0
4,1,5,3
1,2,3,-1
5,2,7,3
1,1,2,0
1,1,2,0
1,0,1,1
4,0,4,4
18,22,40,-4
3,21,24,-18
2,0,2,2
11,2,13,9
1,2,3,-1
7,14,21,-7
1,1,2,0
63,0,63,63
1,1,2,0
1,1,2,0
0,38,38,-38
0,3,3,-3
14,24,38,-10
8,14,22,-6
2,2,4,0
2,2,4,0
5,0,5,5
4,0,4,4
1,1,2,0
1,0,1,1
7,4,11,3
1,1,2,0
20,2,22,18
18,0,18,18
95,49,144,46
44,2,46,42
7,3,10,4
40,7,47,33
3,1,4,2
1,1,2,0
1,1,2,0
9,2,11,7
0,1,1,-1
56,4,60,52
1,1,2,0
5,1,6,4
2,3,5,-1
1,0,1,1
2,2,4,0
3,3,6,0
4,2,6,2
4,7,11,-3
3,3,6,0
2,2,4,0
2,2,4,0
1,1,2,0
3,0,3,3
36,13,49,23
83,0,83,83
19,3,22,16
38,18,56,20
1,0,1,1
4,0,4,4
0,2,2,-2
26,25,51,1
3,1,4,2
5,1,6,4
1,1,2,0
1,0,1,1
6,0,6,6
6,0,6,6
5,5,10,0
0,0,0,0
1,1,2,0
3,0,3,3
3,3,6,0
4,4,8,0
12,0,12,12
4,0,4,4
1,3,4,-2
0,49,49,-49
181,0,181,181
29,21,50,8
0,16,16,-16
0,25,25,-25
0,12,12,-12
1,0,1,1
9,11,20,-2
0,1,1,-1
3,0,3,3
2,3,5,-1
31,0,31,31
5,0,5,5
6,5,11,1
27,11,38,16
1,1,2,0
4,0,4,4
1,0,1,1
56,10,66,46
2,1,3,1
1,2,3,-1
10,8,18,2
61,0,61,61
1,1,2,0
7,3,10,4
1,1,2,0
29,17,46,12
9,8,17,1
0,1,1,-1
2,2,4,0
39,10,49,29
1,1,2,0
10,0,10,10
9,6,15,3
3,5,8,-2
2,2,4,0
5,6,11,-1
0,2,2,-2
28,0,28,28
7,2,9,5
1,0,1,1
1,2,3,-1
3,3,6,0
1,2,3,-1
1,2,3,-1
40,0,40,40
1,2,3,-1
2,2,4,0
1,1,2,0
3,33,36,-30
4,12,16,-8
2,4,6,-2
1,2,3,-1
1,1,2,0
33,27,60,6
4,1,5,3
1,3,4,-2
10,0,10,10
10,0,10,10
1,1,2,0
9,3,12,6
2,2,4,0
37,13,50,24
6,0,6,6
1,1,2,0
6,4,10,2
2,1,3,1
2,1,3,1
3,1,4,2
3,1,4,2
3,2,5,1
7,5,12,2
3,1,4,2
6,3,9,3
5,3,8,2
9,5,14,4
2,1,3,1
4,1,5,3
3,1,4,2
15,0,15,15
1,1,2,0
3,0,3,3
2,2,4,0
6,4,10,2
7,7,14,0
4,0,4,4
21,8,29,13
14,0,14,14
6,6,12,0
0,0,0,0
1,1,2,0
4,4,8,0
1,1,2,0
3,3,6,0
6,3,9,3
1,0,1,1
26,10,36,16
16,1,17,15
4,4,8,0
1,1,2,0
47,28,75,19
1,1,2,0
8,0,8,8
10,0,10,10
46,3,49,43
5,0,5,5
10,1,11,9
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
4,3,7,1
2,1,3,1
0,1,1,-1
1,0,1,1
4,4,8,0
1,6,7,-5
3,11,14,-8
3,3,6,0
2,1,3,1
3,0,3,3
1,1,2,0
10,0,10,10
4,4,8,0
1,0,1,1
2,0,2,2
39,12,51,27
47,20,67,27
4,0,4,4
2,0,2,2
47,2,49,45
7,2,9,5
3,0,3,3
15,1,16,14
10,10,20,0
0,2,2,-2
3,2,5,1
0,5,5,-5
0,4,4,-4
0,6,6,-6
1,1,2,0
2,4,6,-2
15,36,51,-21
0,4,4,-4
1,1,2,0
4,1,5,3
0,9,9,-9
3,5,8,-2
11,7,18,4
9,0,9,9
1,1,2,0
1,4,5,-3
2,0,2,2
1,1,2,0
4,2,6,2
4,4,8,0
9,0,9,9
2,2,4,0
7,0,7,7
6,3,9,3
10,4,14,6
7,1,8,6
3,1,4,2
3,2,5,1
1,1,2,0
1,1,2,0
8,0,8,8
14,10,24,4
1,1,2,0
13,5,18,8
2,2,4,0
1,2,3,-1
4,4,8,0
182,0,182,182
6,1,7,5
3,1,4,2
14,0,14,14
3,1,4,2
26,15,41,11
58,20,78,38
8,0,8,8
5,1,6,4
5,1,6,4
4,0,4,4
4,0,4,4
14,1,15,13
40,0,40,40
6,2,8,4
30,1,31,29
20,0,20,20
4,1,5,3
5,2,7,3
4,0,4,4
4,0,4,4
1,0,1,1
1,0,1,1
0,4,4,-4
11,9,20,2
1,1,2,0
32,6,38,26
17,16,33,1
1,0,1,1
1,0,1,1
1,0,1,1
1,0,1,1
5,0,5,5
2,3,5,-1
5,4,9,1
48,0,48,48
2,1,3,1
3,2,5,1
21,65,86,-44
8,7,15,1
1,1,2,0
5,1,6,4
32,9,41,23
3,3,6,0
4,3,7,1
3,2,5,1
2,3,5,-1
6,6,12,0
15,15,30,0
1,0,1,1
180,0,180,180
1,1,2,0
8,1,9,7
28,0,28,28
9,3,12,6
60,18,78,42
10,0,10,10
5,4,9,1
3,1,4,2
1,1,2,0
1,1,2,0
1,1,2,0
233,0,233,233
3,0,3,3
37,0,37,37
1,0,1,1
1,0,1,1
1,0,1,1
4,0,4,4
4,0,4,4
9,0,9,9
41,0,41,41
1,1,2,0
3,2,5,1
14,6,20,8
5,0,5,5
23,4,27,19
57,22,79,35
3,0,3,3
32,5,37,27
1,2,3,-1
1,26,27,-25
8,6,14,2
2,3,5,-1
9,0,9,9
7,7,14,0
3,1,4,2
0,0,0,0
1,1,2,0
15,20,35,-5
1,1,2,0
1,1,2,0
6,6,12,0
5,5,10,0
38,37,75,1
34,0,34,34
1,1,2,0
5,1,6,4
3,1,4,2
1,1,2,0
22,2,24,20
3,1,4,2
18,1,19,17
6,1,7,5
1,1,2,0
1,1,2,0
12,5,17,7
4,0,4,4
4,0,4,4
2,4,6,-2
8,0,8,8
2,2,4,0
13,3,16,10
13,1,14,12
39,14,53,25
4,0,4,4
22,4,26,18
10,1,11,9
1,3,4,-2
5,18,23,-13
23,12,35,11
8,8,16,0
9,1,10,8
0,1,1,-1
0,1,1,-1
2,1,3,1
66,22,88,44
3,10,13,-7
4,0,4,4
4,0,4,4
12,0,12,12
2,0,2,2
7,1,8,6
0,34,34,-34
0,6,6,-6
2,3,5,-1
7,4,11,3
57,0,57,57
10,15,25,-5
8,0,8,8
2,5,7,-3
25,2,27,23
12,5,17,7
8,9,17,-1
9,8,17,1
6,6,12,0
2,2,4,0
4,4,8,0
42,5,47,37
2,27,29,-25
6,47,53,-41
8,45,53,-37
55,0,55,55
153,0,153,153
11,124,135,-113
19,10,29,9
9,6,15,3
21,16,37,5
2,2,4,0
19,20,39,-1
93,0,93,93
1,4,5,-3
6,4,10,2
6,11,17,-5
9,0,9,9
2,0,2,2
11,0,11,11
13,0,13,13
2,2,4,0
13,19,32,-6
8,13,21,-5
24,0,24,24
19,0,19,19
6,3,9,3
2,4,6,-2
11,12,23,-1
3,3,6,0
41,17,58,24
11,0,11,11
31,10,41,21
26,1,27,25
67,0,67,67
20,21,41,-1
