INSERTION,DELETION,SUM,SUBTRACT
8,12,20,-4
31,25,56,6
12,10,22,2
16,12,28,4
7,9,16,-2
7,8,15,-1
22,0,22,22
60,44,104,16
28,19,47,9
29,18,47,11
8,4,12,4
80,67,147,13
29,18,47,11
28,19,47,9
8,4,12,4
11,6,17,5
6,3,9,3
14,10,24,4
2,1,3,1
4,3,7,1
8,4,12,4
14,7,21,7
37,29,66,8
105,74,179,31
19,15,34,4
19,12,31,7
65,44,109,21
61,41,102,20
11,7,18,4
6,3,9,3
48,29,77,19
202,131,333,71
190,119,309,71
22,12,34,10
14,8,22,6
11,8,19,3
37,27,64,10
4,2,6,2
72,40,112,32
162,104,266,58
22,12,34,10
8,4,12,4
13,7,20,6
10,5,15,5
6,3,9,3
2,2,4,0
10,5,15,5
15,7,22,8
39,32,71,7
82,59,141,23
21,16,37,5
15,11,26,4
22,13,35,9
56,36,92,20
14,8,22,6
45,25,70,20
175,113,288,62
22,12,34,10
39,22,61,17
142,94,236,48
22,12,34,10
41,23,64,18
175,113,288,62
22,12,34,10
13,10,23,3
18,15,33,3
15,11,26,4
13,10,23,3
14,8,22,6
11,7,18,4
53,45,98,8
4,2,6,2
39,22,61,17
143,94,237,49
22,12,34,10
8,4,12,4
20,15,35,5
16,11,27,5
14,12,26,2
30,19,49,11
24,17,41,7
8,4,12,4
14,11,25,3
2,1,3,1
2,1,3,1
55,36,91,19
3,3,6,0
2,1,3,1
2,2,4,0
38,26,64,12
9,6,15,3
2,1,3,1
2,1,3,1
33,23,56,10
6,7,13,-1
2,1,3,1
2,2,4,0
38,26,64,12
8,3,11,5
5,3,8,2
2,1,3,1
4,2,6,2
96,76,172,20
5,4,9,1
2,1,3,1
20,18,38,2
2,1,3,1
2,1,3,1
81,59,140,22
15,8,23,7
2,1,3,1
5,3,8,2
5,4,9,1
70,43,113,27
3,3,6,0
19,11,30,8
9,5,14,4
127,61,188,66
42,21,63,21
10,6,16,4
2,1,3,1
2,1,3,1
5,4,9,1
45,27,72,18
11,7,18,4
2,1,3,1
2,1,3,1
13,19,32,-6
57,35,92,22
80,61,141,19
44,36,80,8
37,23,60,14
16,14,30,2
123,94,217,29
166,115,281,51
23,17,40,6
48,30,78,18
20,9,29,11
4,5,9,-1
14,14,28,0
11,10,21,1
25,14,39,11
17,14,31,3
46,31,77,15
1,3,4,-2
46,22,68,24
4,3,7,1
90,62,152,28
4,2,6,2
73,54,127,19
25,21,46,4
27,18,45,9
164,111,275,53
42,33,75,9
157,137,294,20
6,4,10,2
11,14,25,-3
8,4,12,4
70,45,115,25
9,11,20,-2
5,5,10,0
20,17,37,3
11,9,20,2
10,11,21,-1
5,5,10,0
5,5,10,0
9,5,14,4
10,8,18,2
10,12,22,-2
5,3,8,2
6,7,13,-1
5,5,10,0
5,5,10,0
5,5,10,0
5,5,10,0
22,19,41,3
14,11,25,3
18,14,32,4
24,17,41,7
21,17,38,4
20,16,36,4
6,7,13,-1
6,5,11,1
8,8,16,0
2,7,9,-5
1,0,1,1
21,15,36,6
788,588,1376,200
22,16,38,6
27,18,45,9
28,17,45,11
56,37,93,19
28,21,49,7
11,8,19,3
6,4,10,2
16,11,27,5
12,9,21,3
10,9,19,1
7,8,15,-1
27,18,45,9
18,11,29,7
9,7,16,2
4,3,7,1
699,449,1148,250
48,31,79,17
878,683,1561,195
2,1,3,1
10,4,14,6
5,3,8,2
2,1,3,1
8,3,11,5
42,26,68,16
22,15,37,7
56,45,101,11
12,9,21,3
8,14,22,-6
83,62,145,21
8,12,20,-4
31,25,56,6
12,10,22,2
16,12,28,4
7,9,16,-2
7,8,15,-1
1,1,2,0
0,9,9,-9
4,20,24,-16
9,7,16,2
120,0,120,120
0,265,265,-265
20,0,20,20
0,0,0,0
5,0,5,5
183,0,183,183
100,0,100,100
