INSERTION,DELETION,SUM,SUBTRACT
69,0,69,69
17,2,19,15
15,0,15,15
15,0,15,15
15,0,15,15
16,2,18,14
15,0,15,15
0,20,20,-20
16,1,17,15
19,1,20,18
1,2,3,-1
3,0,3,3
4,0,4,4
2,21,23,-19
0,19,19,-19
2,2,4,0
1,1,2,0
19,9,28,10
2,2,4,0
2,2,4,0
5,1,6,4
3,1,4,2
1,1,2,0
1,1,2,0
2,2,4,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
12,12,24,0
1,1,2,0
1,1,2,0
2,2,4,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
3,3,6,0
3,3,6,0
6,6,12,0
1,1,2,0
1,1,2,0
1,1,2,0
4,4,8,0
2,2,4,0
5,5,10,0
5,5,10,0
5,5,10,0
2,2,4,0
2,2,4,0
2,2,4,0
1,1,2,0
3,3,6,0
4,4,8,0
3,3,6,0
0,1,1,-1
3,3,6,0
3,3,6,0
1,1,2,0
2,2,4,0
12,12,24,0
25,25,50,0
34,32,66,2
3,3,6,0
9,9,18,0
1,1,2,0
1,1,2,0
5,2,7,3
1,1,2,0
1,1,2,0
2,2,4,0
13,0,13,13
15,0,15,15
2,0,2,2
2,0,2,2
2,0,2,2
2,0,2,2
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
4,2,6,2
2,0,2,2
4,2,6,2
4,2,6,2
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
15,0,15,15
0,0,0,0
30,20,50,10
0,13,13,-13
0,1,1,-1
0,11,11,-11
0,26,26,-26
0,101,101,-101
0,10,10,-10
0,70,70,-70
0,1,1,-1
0,61,61,-61
0,0,0,0
2,2,4,0
45,47,92,-2
0,20,20,-20
3,21,24,-18
0,20,20,-20
0,20,20,-20
0,20,20,-20
0,20,20,-20
0,20,20,-20
0,20,20,-20
0,21,21,-21
0,20,20,-20
2,21,23,-19
0,19,19,-19
19,9,28,10
51,0,51,51
1,1,2,0
1,1,2,0
2,2,4,0
2,2,4,0
11,0,11,11
1,1,2,0
1,1,2,0
2,2,4,0
2,2,4,0
20,1,21,19
20,1,21,19
2,9,11,-7
6,6,12,0
6,6,12,0
2,9,11,-7
6,6,12,0
6,6,12,0
49,33,82,16
0,13,13,-13
1572,937,2509,635
1630,809,2439,821
118,0,118,118
34,17,51,17
12,12,24,0
2,2,4,0
7,7,14,0
4,4,8,0
4,4,8,0
2,2,4,0
3,3,6,0
3,2,5,1
5,117,122,-112
1605,801,2406,804
118,0,118,118
10,1,11,9
39,32,71,7
0,13,13,-13
1,1,2,0
12,12,24,0
2,2,4,0
7,7,14,0
4,4,8,0
4,4,8,0
2,2,4,0
3,3,6,0
3,2,5,1
1569,822,2391,747
13,1,14,12
156,22,178,134
0,10,10,-10
63,0,63,63
1,2,3,-1
174,0,174,174
86,0,86,86
112,0,112,112
59,0,59,59
99,0,99,99
37,0,37,37
55,0,55,55
47,0,47,47
55,0,55,55
48,0,48,48
35,36,71,-1
15,12,27,3
2,10,12,-8
3,14,17,-11
5,13,18,-8
2,16,18,-14
2,14,16,-12
163,0,163,163
1,1,2,0
39,0,39,39
39,0,39,39
9,0,9,9
145,0,145,145
45,0,45,45
125,0,125,125
263,19,282,244
16,0,16,16
10,0,10,10
13,1,14,12
5,1,6,4
5,1,6,4
42,15,57,27
1,0,1,1
11,0,11,11
1,0,1,1
51,4,55,47
6,0,6,6
1,0,1,1
6,0,6,6
12,2,14,10
0,7,7,-7
1,0,1,1
19,12,31,7
18,0,18,18
11,1,12,10
51,4,55,47
2,1,3,1
1,0,1,1
16,0,16,16
29,2,31,27
48,1,49,47
67,25,92,42
0,11,11,-11
1,2,3,-1
1,16,17,-15
1,2,3,-1
0,12,12,-12
67,25,92,42
5,3,8,2
1,1,2,0
18,1,19,17
145,0,145,145
45,0,45,45
0,91,91,-91
125,0,125,125
263,19,282,244
0,344,344,-344
2,2,4,0
19,9,28,10
35,19,54,16
0,13,13,-13
0,1,1,-1
0,11,11,-11
0,26,26,-26
0,101,101,-101
0,10,10,-10
0,70,70,-70
0,1,1,-1
0,61,61,-61
45,47,92,-2
0,20,20,-20
3,21,24,-18
0,20,20,-20
0,20,20,-20
0,20,20,-20
0,20,20,-20
0,20,20,-20
0,20,20,-20
0,21,21,-21
0,20,20,-20
0,19,19,-19
0,19,19,-19
0,0,0,0
2,2,4,0
1,3,4,-2
67,1,68,66
425,624,1049,-199
1,3,4,-2
67,1,68,66
425,624,1049,-199
10,2,12,8
10,2,12,8
1,0,1,1
2,0,2,2
8,21,29,-13
0,2,2,-2
1,7,8,-6
44,2,46,42
1,0,1,1
2,0,2,2
8,21,29,-13
0,2,2,-2
1,7,8,-6
44,2,46,42
0,3,3,-3
0,120,120,-120
0,52,52,-52
6,0,6,6
56,0,56,56
21,0,21,21
2,0,2,2
6,0,6,6
56,0,56,56
76,18,94,58
4,3,7,1
72,15,87,57
2,0,2,2
9,0,9,9
27,0,27,27
2,0,2,2
9,0,9,9
27,0,27,27
2,0,2,2
12,0,12,12
2,0,2,2
12,0,12,12
0,3,3,-3
0,120,120,-120
0,52,52,-52
78,0,78,78
64,0,64,64
14,0,14,14
20,24,44,-4
6,6,12,0
6,6,12,0
6,14,20,-8
6,6,12,0
6,6,12,0
14,10,24,4
2,2,4,0
0,1,1,-1
2,2,4,0
0,1,1,-1
6,19,25,-13
0,1,1,-1
2,1,3,1
1,0,1,1
1,0,1,1
58,0,58,58
172,0,172,172
20,9,29,11
78,0,78,78
44,9,53,35
37,0,37,37
6,100,106,-94
21,12,33,9
59,0,59,59
8,4,12,4
15,32,47,-17
55,0,55,55
34,22,56,12
14,10,24,4
2,10,12,-8
3,14,17,-11
2,16,18,-14
2,14,16,-12
162,0,162,162
1,1,2,0
39,0,39,39
9,0,9,9
95,0,95,95
219,15,234,204
65,0,65,65
2,2,4,0
99,44,143,55
1,0,1,1
1,0,1,1
35,0,35,35
76,0,76,76
40,0,40,40
56,0,56,56
27,0,27,27
32,0,32,32
18,4,22,14
13,11,24,2
1,1,2,0
173,1,174,172
11,1,12,10
1,1,2,0
4,4,8,0
43,45,88,-2
839,847,1686,-8
82,21,103,61
1,1,2,0
4,0,4,4
13,0,13,13
30,3,33,27
144,60,204,84
9,12,21,-3
0,1,1,-1
2,3,5,-1
1,1,2,0
0,4,4,-4
2,2,4,0
0,4,4,-4
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
0,2,2,-2
1,1,2,0
1,1,2,0
3,3,6,0
3,4,7,-1
1,1,2,0
5,5,10,0
1,1,2,0
11,12,23,-1
0,6,6,-6
0,1,1,-1
0,2,2,-2
0,14,14,-14
2,2,4,0
1,2,3,-1
0,4,4,-4
6,1,7,5
45,1,46,44
11,33,44,-22
2,149,151,-147
0,1,1,-1
61,1,62,60
6,6,12,0
1,9,10,-8
2,2,4,0
1,1,2,0
1,1,2,0
15,15,30,0
97,1,98,96
72,0,72,72
4,0,4,4
18,4,22,14
1,1,2,0
1,1,2,0
20,0,20,20
2,2,4,0
1,1,2,0
20,0,20,20
2,2,4,0
1,1,2,0
1,1,2,0
6,2,8,4
5,1,6,4
9,4,13,5
6,2,8,4
5,1,6,4
9,4,13,5
2,0,2,2
69,0,69,69
2,0,2,2
1,1,2,0
69,0,69,69
21,0,21,21
2,0,2,2
1,2,3,-1
1,2,3,-1
1,1,2,0
1,1,2,0
2,2,4,0
2,2,4,0
0,2,2,-2
5,5,10,0
4,3,7,1
2,1,3,1
3,2,5,1
5,4,9,1
2,2,4,0
1,1,2,0
1,1,2,0
2,2,4,0
1,1,2,0
1,0,1,1
5,2,7,3
17,0,17,17
18,5,23,13
62,3,65,59
6,0,6,6
1,0,1,1
5,2,7,3
17,0,17,17
18,5,23,13
62,3,65,59
6,0,6,6
1,0,1,1
5,2,7,3
17,0,17,17
18,5,23,13
62,3,65,59
6,0,6,6
2,2,4,0
1,1,2,0
0,2,2,-2
5,5,10,0
4,3,7,1
2,1,3,1
3,2,5,1
5,4,9,1
2,2,4,0
2,2,4,0
1,1,2,0
1,1,2,0
1,1,2,0
12,0,12,12
11,0,11,11
5,14,19,-9
55,1,56,54
2,3,5,-1
60,0,60,60
51,33,84,18
2,2,4,0
4,4,8,0
0,537,537,-537
1,1,2,0
1,1,2,0
3,3,6,0
5,5,10,0
0,7084,7084,-7084
2,2,4,0
6,6,12,0
1,1,2,0
1,1,2,0
0,61,61,-61
16,16,32,0
0,537,537,-537
0,7084,7084,-7084
0,61,61,-61
2,2,4,0
5,1,6,4
2,3,5,-1
60,0,60,60
13,0,13,13
38,33,71,5
0,0,0,0
2,3,5,-1
0,0,0,0
2,3,5,-1
1,1,2,0
55,1,56,54
16,14,30,2
9,5,14,4
71,8,79,63
37,17,54,20
26,2,28,24
19,2,21,17
20,7,27,13
23,2,25,21
40,6,46,34
37,0,37,37
40,0,40,40
33,0,33,33
136,18,154,118
10,0,10,10
5,14,19,-9
4,0,4,4
69,0,69,69
19,0,19,19
7,0,7,7
5,0,5,5
10,1,11,9
19,0,19,19
30,1,31,29
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
5,5,10,0
2,2,4,0
6,6,12,0
1,1,2,0
1,1,2,0
1,1,2,0
2,2,4,0
16,16,32,0
4,4,8,0
51,51,102,0
3,3,6,0
24,24,48,0
56,56,112,0
8,8,16,0
6,2,8,4
5,1,6,4
9,4,13,5
16,14,30,2
9,5,14,4
71,8,79,63
37,17,54,20
26,2,28,24
19,2,21,17
20,7,27,13
23,2,25,21
40,6,46,34
37,0,37,37
40,0,40,40
33,0,33,33
136,18,154,118
10,0,10,10
2,2,4,0
0,1,1,-1
5,6,11,-1
2,22,24,-20
20,0,20,20
28,7,35,21
12,23,35,-11
6,6,12,0
19,0,19,19
7,0,7,7
36,0,36,36
10,1,11,9
9,0,9,9
665,260,925,405
537,0,537,537
3,3,6,0
1,1,2,0
250,241,491,9
1,1,2,0
1,1,2,0
15,0,15,15
8,0,8,8
96,0,96,96
17,55,72,-38
14,684,698,-670
2,2,4,0
1,1,2,0
2,2,4,0
0,1,1,-1
5,5,10,0
12,12,24,0
7084,0,7084,7084
2,2,4,0
6,1,7,5
2,1,3,1
1,1,2,0
17,74,91,-57
61,0,61,61
3,5,8,-2
549,258,807,291
3,1,4,2
1,1,2,0
3,1,4,2
3,1,4,2
2,1,3,1
4,3,7,1
1,1,2,0
1,1,2,0
2,1,3,1
1,1,2,0
1,1,2,0
2,1,3,1
2,1,3,1
4,1,5,3
665,260,925,405
537,0,537,537
3,3,6,0
1,1,2,0
250,241,491,9
1,1,2,0
1,1,2,0
15,0,15,15
8,0,8,8
96,0,96,96
17,55,72,-38
14,684,698,-670
2,2,4,0
1,1,2,0
2,2,4,0
0,1,1,-1
5,5,10,0
12,12,24,0
7084,0,7084,7084
2,2,4,0
6,1,7,5
2,1,3,1
1,1,2,0
17,74,91,-57
61,0,61,61
3,5,8,-2
549,258,807,291
3,1,4,2
1,1,2,0
3,1,4,2
3,1,4,2
2,1,3,1
4,3,7,1
1,1,2,0
1,1,2,0
2,1,3,1
1,1,2,0
1,1,2,0
2,1,3,1
2,1,3,1
4,1,5,3
35,2,37,33
35,2,37,33
7,0,7,7
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
6,1,7,5
8,7,15,1
26,26,52,0
67,67,134,0
25,37,62,-12
4,4,8,0
1,1,2,0
9,9,18,0
1,1,2,0
4,4,8,0
1,1,2,0
1,1,2,0
1,1,2,0
1,1,2,0
6,1,7,5
8,7,15,1
26,26,52,0
67,67,134,0
25,37,62,-12
4,4,8,0
1,1,2,0
9,9,18,0
1,1,2,0
4,4,8,0
0,1,1,-1
1,0,1,1
12,0,12,12
11,0,11,11
1,0,1,1
1,1,2,0
1,0,1,1
5,0,5,5
4,0,4,4
6,0,6,6
2,0,2,2
86,0,86,86
94,0,94,94
29,0,29,29
111,0,111,111
169,0,169,169
41,0,41,41
119,0,119,119
1,0,1,1
34,0,34,34
4,4,8,0
0,0,0,0
0,0,0,0
2,2,4,0
4,0,4,4
1,1,2,0
34,0,34,34
4,4,8,0
0,0,0,0
0,0,0,0
2,2,4,0
4,0,4,4
1,1,2,0
15,18,33,-3
15,18,33,-3
28,18,46,10
28,18,46,10
29,0,29,29
111,0,111,111
169,0,169,169
41,0,41,41
119,0,119,119
1,0,1,1
16,0,16,16
19,1,20,18
2,2,4,0
4,4,8,0
2,0,2,2
70,0,70,70
76,0,76,76
1,1,2,0
1,1,2,0
9,5,14,4
2,1,3,1
16,0,16,16
1,2,3,-1
12,0,12,12
1,1,2,0
1,1,2,0
14,4,18,10
74,54,128,20
1,1,2,0
50,85,135,-35
51,24,75,27
33,2,35,31
14,4,18,10
51,62,113,-11
1,1,2,0
50,85,135,-35
51,24,75,27
1,0,1,1
1,2,3,-1
1,0,1,1
1,2,3,-1
1,1,2,0
1,1,2,0
6,0,6,6
4,0,4,4
